ID,Traffico,no_existing_chg,mixed_use_area_per_cell,centroid_x,centroid_y,Colore
252,0,8,nan,384313.0,396622,lightcyan
253,0,1,4066.842,384442.9038105677,396845,lightcyan
254,0,2,nan,384313.0,397068,lightcyan
255,14658,0,32265.541,384442.9038105677,397291,deepskyblue
256,0,0,nan,384313.0,397514,lightcyan
257,0,0,nan,384442.9038105677,397737,lightcyan
258,10438,0,113317.655,384313.0,397960,lightskyblue
259,7033,9,nan,384442.9038105677,398183,lightskyblue
260,2554,0,152238.644,384313.0,398406,lightskyblue
261,0,9,nan,384442.9038105677,398629,lightcyan
262,20200,2,100653.564,384313.0,398852,deepskyblue
263,0,2,nan,384442.9038105677,399075,lightcyan
264,0,0,nan,384313.0,399298,lightcyan
265,4362,0,8613.619,384442.9038105677,399521,lightskyblue
266,0,0,nan,384313.0,399744,lightcyan
267,0,0,22625.467999999997,384442.9038105677,399967,lightcyan
268,0,0,nan,384313.0,400190,lightcyan
269,0,0,24457.46,384442.9038105677,400413,lightcyan
270,423,0,nan,384313.0,400636,lightskyblue
271,0,1,36490.754,384442.9038105677,400859,lightcyan
272,0,0,nan,384572,393500,lightcyan
273,0,0,nan,384701.9038105677,393723,lightcyan
274,0,0,nan,384572.0,393946,lightcyan
275,595,0,nan,384701.9038105677,394169,lightskyblue
276,0,0,nan,384572.0,394392,lightcyan
277,0,0,nan,384701.9038105677,394615,lightcyan
278,0,0,nan,384572.0,394838,lightcyan
279,0,0,nan,384701.9038105677,395061,lightcyan
280,0,0,nan,384572.0,395284,lightcyan
281,0,0,nan,384701.9038105677,395507,lightcyan
282,0,0,nan,384572.0,395730,lightcyan
283,0,0,nan,384701.9038105677,395953,lightcyan
284,0,4,nan,384572.0,396176,lightcyan
285,0,0,nan,384701.9038105677,396399,lightcyan
286,0,0,nan,384572.0,396622,lightcyan
287,0,0,nan,384701.9038105677,396845,lightcyan
288,15938,0,nan,384572.0,397068,deepskyblue
289,37846,0,nan,384701.9038105677,397291,deepskyblue
