,longitude,latitude
7489,-2.2480304,53.4825128
7488,-2.2484197,53.4825243
11895,-2.2470934,53.482531
7480,-2.2480153,53.482534
7485,-2.2483007,53.4825441
7484,-2.2482926,53.4825542
7479,-2.2479896,53.4825688
7478,-2.2479569,53.4826084
7487,-2.2484243,53.4826154
7471,-2.2483317,53.4826178
11894,-2.2470437,53.482621
7486,-2.2484087,53.4826216
7477,-2.24794,53.4826344
5114,-2.2469899,53.4826706
5020,-2.2513127,53.4825828
5018,-2.2513503,53.482602
5016,-2.2512121,53.4826379
5022,-2.2508286,53.4826634
5017,-2.2513047,53.4826794
5014,-2.2508406,53.4826834
5013,-2.2507186,53.4827097
7201,-2.2512701,53.4827147
5015,-2.2508661,53.4827265
5012,-2.250736,53.4827416
13183,-2.264279,53.48287
5305,-2.2638651,53.482929
7426,-2.2685963,53.483011
13120,-2.268917,53.483117
4383,-2.2639118,53.4831202
4384,-2.263763,53.48313
5814,-2.2622108,53.4831486
5815,-2.2631562,53.4831617
13163,-2.265379,53.483392
5651,-2.2631397,53.4833945
5010,-2.2508715,53.482772
5011,-2.2507387,53.4827783
10064,-2.254115,53.4827898
13060,-2.2566582,53.4827909
5009,-2.2508567,53.4828206
5021,-2.2508034,53.4828267
13058,-2.2550972,53.4833084
562,-2.2551989,53.4833395
12292,-2.2548883,53.4836309
561,-2.2560104,53.4841178
5816,-2.2625852,53.483442
10500,-2.2582646,53.4834449
7627,-2.2581821,53.483445
10498,-2.2584309,53.4834461
10499,-2.2588569,53.4834614
4848,-2.259279,53.4834625
10496,-2.2632139,53.4834639
13059,-2.2590558,53.4834863
12217,-2.2588768,53.4835583
12262,-2.2632078,53.4836281
2064,-2.2592912,53.4837153
2843,-2.2651251,53.4837598
2842,-2.2655518,53.4838593
7425,-2.2626552,53.4840101
12260,-2.2623817,53.4840172
12261,-2.2621073,53.4840209
5306,-2.261117,53.4840755
12258,-2.2623756,53.4840759
12259,-2.2621114,53.4840777
13192,-2.258995,53.484874
12053,-2.2484806,53.4840496
12054,-2.2486454,53.4841624
12055,-2.2487083,53.4842125
5403,-2.250545,53.4845217
12058,-2.249925,53.4846507
4362,-2.249412,53.4846729
12057,-2.2498035,53.4846733
12056,-2.2495364,53.484697
336,-2.2490709,53.4847368
13170,-2.249015,53.484768
5402,-2.2507885,53.4844649
10965,-2.2508083,53.4846904
4301,-2.2510925,53.4846949
10966,-2.2507299,53.4847017
10967,-2.2506602,53.4847142
13075,-2.256625,53.484803
12175,-2.2571188,53.4853223
12176,-2.257088,53.4854855
12067,-2.2508028,53.4855208
9277,-2.2570496,53.4856654
10836,-2.2691703,53.4855946
10875,-2.2667375,53.4859453
10835,-2.2683354,53.4864442
13079,-2.264463,53.486892
10841,-2.2696721,53.4870007
10842,-2.2694699,53.4873706
13100,-2.263104,53.487739
10856,-2.2693162,53.4878695
9203,-2.2582189,53.4880388
9204,-2.2583067,53.4880918
5493,-2.2529265,53.4866325
5494,-2.2528783,53.4866516
5495,-2.2530107,53.4866826
5496,-2.2529345,53.4866898
12086,-2.2543979,53.4871318
