,0
1401,0.0
1402,0.29
1403,0.14
1404,0.29
1405,0.02
1406,0.0
1407,0.02
1408,0.0
1409,0.0
1410,0.0
1411,0.14
1412,0.02
1413,0.29
1414,0.27
1415,0.02
1416,0.29
1417,0.14
1418,0.27
1419,0.27
1420,0.14
1421,0.14
1422,0.14
1423,0.14
1424,0.14
1425,0.29
1426,0.08
1427,0.29
1428,0.29
1429,0.27
1430,0.29
1431,0.29
1432,0.27
1433,0.27
1434,0.29
1435,0.27
1436,0.27
1437,0.29
1438,0.29
1439,0.02
1440,0.29
1441,0.27
1442,0.27
1443,0.27
1444,0.27
1445,0.27
1446,0.27
1447,0.27
1448,0.29
1449,0.29
1450,0.29
1451,0.27
1452,0.29
1453,0.27
1454,0.02
1455,0.29
1456,0.29
1457,0.29
1458,0.27
1459,0.29
1460,0.14
1461,0.29
1462,0.29
1463,0.14
1464,0.29
1465,0.29
1466,0.29
1467,0.29
1468,0.27
1469,0.27
1470,0.29
1471,0.14
1472,0.14
1473,0.29
1474,0.02
1475,0.02
1476,0.02
1477,0.29
1478,0.29
1479,0.29
1480,0.27
1481,0.27
1482,0.27
1483,0.29
1484,0.29
1485,0.29
1486,0.29
1487,0.29
1488,0.29
1489,0.29
1490,0.29
1491,0.27
1492,0.27
1493,0.29
1494,0.14
1495,0.14
1496,0.14
1497,0.29
1498,0.27
1499,0.27
1500,0.27
1501,0.27
1502,0.29
1503,0.29
1504,0.27
1505,0.14
1506,0.27
1507,0.0
1508,0.27
1509,0.29
1510,0.27
1511,0.29
1512,0.08
1513,0.29
1514,0.27
1515,0.27
1516,0.29
1517,0.29
1518,0.29
1519,0.27
1520,0.08
1521,0.02
1522,0.29
1523,0.27
1524,0.27
1525,0.29
1526,0.29
1527,0.29
1528,0.08
1529,0.29
1530,0.27
1531,0.02
1532,0.29
1533,0.27
1534,0.02
1535,0.17
1536,0.29
1537,0.27
1538,0.17
1539,0.27
1540,0.0
1541,0.29
1542,0.27
1543,0.27
1544,0.27
1545,0.0
1546,0.29
1547,0.02
1548,0.27
1549,0.29
1550,0.27
1551,0.27
1552,0.29
1553,0.29
1554,0.29
1555,0.14
1556,0.14
1557,0.27
1558,0.27
1559,0.29
1560,0.27
1561,0.27
1562,0.27
1563,0.27
1564,0.14
1565,0.29
1566,0.27
1567,0.29
1568,0.29
1569,0.29
1570,0.29
1571,0.29
1572,0.29
1573,0.29
1574,0.27
1575,0.08
1576,0.08
1577,0.29
1578,0.27
1579,0.29
1580,0.08
1581,0.02
1582,0.14
1583,0.29
1584,0.08
1585,0.29
1586,0.29
