,0
1195,0.02
1196,0.29
1197,0.08
1198,0.08
1199,0.08
1200,0.02
1201,0.27
1202,0.29
1203,0.02
1204,0.02
1205,0.29
1206,0.27
1207,0.29
1208,0.27
1209,0.27
1210,0.02
1211,0.27
1212,0.29
1213,0.08
1214,0.29
1215,0.02
1216,0.27
1217,0.29
1218,0.29
1219,0.0
1220,0.29
1221,0.08
1222,0.08
1223,0.0
1224,0.0
1225,0.27
1226,0.27
1227,0.29
1228,0.29
1229,0.27
1230,0.27
1231,0.29
1232,0.29
1233,0.29
1234,0.02
1235,0.29
1236,0.29
1237,0.27
1238,0.27
1239,0.0
1240,0.27
1241,0.27
1242,0.27
1243,0.27
1244,0.27
1245,0.08
1246,0.08
1247,0.29
1248,0.02
1249,0.27
1250,0.27
1251,0.27
1252,0.29
1253,0.29
1254,0.27
1255,0.0
1256,0.29
1257,0.17
1258,0.29
1259,0.29
1260,0.0
1261,0.29
1262,0.02
1263,0.08
1264,0.29
1265,0.27
1266,0.29
1267,0.27
1268,0.29
1269,0.29
1270,0.0
1271,0.27
1272,0.29
1273,0.02
1274,0.29
1275,0.29
1276,0.27
1277,0.14
1278,0.29
1279,0.08
1280,0.08
1281,0.29
1282,0.29
1283,0.29
1284,0.02
1285,0.29
1286,0.02
1287,0.0
1288,0.27
1289,0.29
1290,0.29
1291,0.29
1292,0.29
1293,0.0
1294,0.27
1295,0.27
1296,0.29
1297,0.29
1298,0.29
1299,0.29
1300,0.29
1301,0.27
1302,0.29
1303,0.29
1304,0.29
1305,0.29
1306,0.29
1307,0.14
1308,0.14
1309,0.14
1310,0.14
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.17
1321,0.0
1322,0.0
1323,0.27
1324,0.29
1325,0.17
1326,0.27
1327,0.27
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.02
1333,0.29
1334,0.29
1335,0.0
1336,0.29
1337,0.0
1338,0.0
1339,0.29
1340,0.0
1341,0.29
1342,0.08
1343,0.0
1344,0.0
1345,0.17
1346,0.14
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.02
1352,0.0
1353,0.0
1354,0.0
1355,0.29
1356,0.0
1357,0.14
1358,0.0
1359,0.29
1360,0.14
1361,0.29
1362,0.27
1363,0.29
1364,0.29
1365,0.14
1366,0.14
1367,0.27
1368,0.08
1369,0.08
1370,0.08
1371,0.29
1372,0.02
1373,0.29
1374,0.29
1375,0.08
1376,0.29
1377,0.17
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.29
1383,0.0
1384,0.17
1385,0.0
1386,0.0
1387,0.08
1388,0.27
1389,0.27
1390,0.02
1391,0.27
1392,0.29
1393,0.29
1394,0.29
1395,0.0
1396,0.0
1397,0.02
1398,0.02
1399,0.27
1400,0.27
1401,0.14
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,0.0
1408,0.0
1409,0.14
1410,0.0
1411,0.0
1412,0.0
1413,0.02
1414,0.29
1415,0.29
1416,0.27
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.29
1422,0.14
1423,0.14
1424,0.29
1425,0.0
1426,0.0
1427,0.14
1428,0.02
1429,0.14
1430,0.02
1431,0.14
1432,0.02
1433,0.02
1434,0.14
1435,0.14
1436,0.02
1437,0.02
1438,0.14
1439,0.02
1440,0.14
1441,0.17
1442,0.0
1443,0.0
1444,0.0
1445,0.29
1446,0.29
1447,0.29
1448,0.29
1449,0.0
1450,0.29
1451,0.29
1452,0.29
1453,0.29
1454,0.17
1455,0.29
1456,0.14
1457,0.29
1458,0.29
1459,0.29
1460,0.29
1461,0.14
1462,0.29
1463,0.29
1464,0.17
1465,0.02
1466,0.02
1467,0.02
1468,0.27
1469,0.27
1470,0.27
1471,0.29
1472,0.29
1473,0.29
1474,0.29
1475,0.02
1476,0.29
1477,0.14
1478,0.14
1479,0.14
1480,0.02
1481,0.02
1482,0.02
1483,0.29
1484,0.29
1485,0.29
1486,0.27
1487,0.29
1488,0.29
1489,0.27
1490,0.27
1491,0.29
1492,0.02
1493,0.29
1494,0.29
1495,0.29
1496,0.29
1497,0.0
1498,0.29
1499,0.29
1500,0.29
1501,0.29
1502,0.08
1503,0.08
1504,0.08
1505,0.08
1506,0.0
1507,0.0
1508,0.29
1509,0.29
1510,0.08
1511,0.08
1512,0.27
1513,0.29
1514,0.29
1515,0.29
1516,0.02
1517,0.29
1518,0.02
1519,0.29
1520,0.27
1521,0.29
1522,0.02
1523,0.0
1524,0.27
1525,0.29
1526,0.27
1527,0.29
1528,0.0
1529,0.02
1530,0.29
1531,0.02
1532,0.27
1533,0.29
1534,0.02
1535,0.27
1536,0.0
1537,0.29
1538,0.29
1539,0.29
1540,0.29
1541,0.0
1542,0.29
1543,0.0
1544,0.0
1545,0.29
1546,0.0
1547,0.27
1548,0.27
1549,0.17
1550,0.27
1551,0.02
1552,0.02
1553,0.02
1554,0.0
1555,0.0
1556,0.0
1557,0.14
1558,0.17
1559,0.29
1560,0.17
1561,0.27
1562,0.29
1563,0.02
1564,0.29
1565,0.27
1566,0.29
1567,0.27
1568,0.29
1569,0.29
1570,0.14
1571,0.02
1572,0.02
1573,0.02
1574,0.0
1575,0.0
1576,0.0
1577,0.29
1578,0.27
1579,0.27
1580,0.27
1581,0.02
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.29
1588,0.29
1589,0.29
1590,0.29
1591,0.29
1592,0.02
1593,0.29
1594,0.29
1595,0.08
1596,0.02
1597,0.02
1598,0.29
1599,0.29
1600,0.29
1601,0.02
1602,0.27
1603,0.29
1604,0.27
1605,0.29
1606,0.0
1607,0.27
1608,0.02
1609,0.14
1610,0.29
1611,0.29
1612,0.29
1613,0.0
1614,0.29
1615,0.29
