,longitud,latitud
8416,-3.7581132,40.3612747
8417,-3.757743,40.3613605
19922,-3.7612903,40.3613923
8415,-3.758089,40.3614382
8420,-3.7577322,40.3615221
8419,-3.7577162,40.3615812
8421,-3.7577001,40.3617243
8414,-3.7580381,40.3620043
39881,-3.7286645,40.3276125
10480,-3.7317245,40.3276426
39172,-3.7275278,40.3292242
48872,-3.7292359,40.3323867
5669,-3.7314762,40.3387357
39880,-3.731875,40.3389025
6516,-3.7322926,40.3391527
39874,-3.7305379,40.339719
39876,-3.7309918,40.3397312
39875,-3.7310374,40.3398114
35024,-3.7192169,40.3251308
31623,-3.7182132,40.3255694
2642,-3.7185017,40.3258804
4303,-3.7205366,40.3261037
21794,-3.7178314,40.3264152
38949,-3.7177423,40.3403897
15583,-3.7188472,40.3414037
17859,-3.717505,40.3430021
14703,-3.717565,40.3502081
24879,-3.7200117,40.3548343
39877,-3.7310188,40.3401356
39879,-3.7317751,40.3403127
39878,-3.731384,40.3403761
5667,-3.7306941,40.3406317
46867,-3.7258972,40.3432456
36698,-3.7293541,40.347047
36697,-3.7284905,40.3478688
36735,-3.7275517,40.3478913
36625,-3.7277421,40.3479168
36699,-3.7306389,40.3480957
1737,-3.7228121,40.3281327
13324,-3.725698,40.332411
39084,-3.7239956,40.3466336
36611,-3.7243512,40.3489251
8576,-3.7236573,40.3494113
2612,-3.7234981,40.3506336
36894,-3.725713,40.3510474
36893,-3.7255374,40.3522902
36610,-3.7252933,40.3603504
46566,-3.7239445,40.3642611
36671,-3.7323689,40.3481468
36734,-3.7282839,40.3486599
36720,-3.7308683,40.3489941
36723,-3.7317339,40.3493094
36722,-3.7312035,40.3496002
36880,-3.7268583,40.3498404
36721,-3.7314922,40.3498856
36751,-3.7307395,40.3501245
36749,-3.730818,40.35082
37051,-3.7284615,40.350854
24880,-3.7186689,40.3548958
24887,-3.7179242,40.3558694
24888,-3.7194895,40.35645
24889,-3.7179936,40.3564713
24890,-3.7185921,40.3564797
24892,-3.7182523,40.3571083
36530,-3.7173969,40.3577231
24894,-3.7181038,40.3579525
24896,-3.7175258,40.3587141
24900,-3.7179776,40.3594232
36752,-3.7304994,40.3509616
36750,-3.7309299,40.3511169
36821,-3.729043,40.3514726
36901,-3.7299791,40.3517056
36635,-3.7259424,40.3517874
36902,-3.7283088,40.3520602
36903,-3.7261502,40.3526908
37085,-3.727144,40.355627
37074,-3.7314919,40.3628367
52291,-3.7308735,40.3671557
52292,-3.7299521,40.3675789
52307,-3.7300403,40.3684697
52302,-3.7261787,40.3701695
52301,-3.7267826,40.3701792
52300,-3.7279226,40.3702058
52299,-3.7284856,40.3702193
52298,-3.7290279,40.370226
53040,-3.7294396,40.3702273
52297,-3.7299357,40.370244
52296,-3.7304986,40.3702485
24901,-3.7197298,40.3597978
36531,-3.7178421,40.3598308
24903,-3.7191993,40.360271
24913,-3.7180299,40.3692523
43051,-3.7200711,40.3699241
43053,-3.7198777,40.3737557
24945,-3.7206081,40.3794328
24946,-3.7174425,40.3799497
25481,-3.7179789,40.3801753
36331,-3.7198616,40.3829418
52295,-3.7310675,40.3702597
52294,-3.7316304,40.3702732
52293,-3.7321953,40.3702773
24920,-3.7322712,40.3724828
24921,-3.7271623,40.3725389
37194,-3.7304132,40.3726319
37193,-3.7259134,40.3727981
24923,-3.7281265,40.373039
24925,-3.7305255,40.3731656
17252,-3.725988,40.3742211
8437,-3.7527112,40.3618919
8435,-3.7547203,40.3619409
8430,-3.7559942,40.3619757
8438,-3.752958,40.36199
17241,-3.7547644,40.3619905
8432,-3.7552083,40.3620268
8431,-3.7553934,40.3620309
8433,-3.7556831,40.3620493
8427,-3.7563,40.3620656
8426,-3.756501,40.3620676
8413,-3.7580917,40.362176
8412,-3.7586121,40.3622128
8411,-3.7589554,40.3622291
8418,-3.7594489,40.3622577
8410,-3.7596769,40.3622679
8369,-3.7598288,40.3622731
8434,-3.7608941,40.362398
8405,-3.7579791,40.3626869
8401,-3.7581722,40.3626951
8402,-3.7589178,40.3627237
8425,-3.7565789,40.3620728
8424,-3.7569585,40.3620963
8423,-3.7570658,40.3620983
