,long,lat
27761,9.9844788,53.5503766
27762,9.984505,53.5505989
4399,9.9836049,53.5514235
15450,9.983851,53.5514497
15453,9.9838742,53.5514515
22415,9.9840826,53.5517442
15451,9.984397,53.5517788
1882,9.9721953,53.5467422
35086,9.9746752,53.5467778
26282,9.9739434,53.5471408
28971,9.9725834,53.5474352
10983,9.9745934,53.5476475
10987,9.9745936,53.5476563
36095,9.972036,53.5476601
29338,9.9743078,53.5477275
36090,9.9720595,53.5477298
29337,9.9743387,53.5477304
34194,9.9703955,53.5470839
36624,9.9691747,53.5471472
11997,9.9708364,53.5473061
20070,9.9715091,53.5473492
7815,9.9719743,53.5474051
34699,9.97053,53.5475129
11998,9.9707925,53.5475596
11999,9.971461,53.5476024
36089,9.9718181,53.5477543
36094,9.972036,53.5477926
25912,9.9758072,53.5471165
10974,9.9770581,53.5471437
12481,9.977536,53.5471679
10972,9.9753765,53.5473687
10966,9.9770862,53.5477793
28000,9.9772176,53.5480286
28001,9.9772423,53.5480513
10979,9.975207,53.5487142
28576,9.9752756,53.5487235
33498,9.975774,53.5488207
36093,9.971969,53.547795
36092,9.9718724,53.5478272
36088,9.9718644,53.5479352
34697,9.9711663,53.5479802
34698,9.9711408,53.5480284
22623,9.9693014,53.5480788
34696,9.9710604,53.5481002
11568,9.9689086,53.5481099
34694,9.9720334,53.5481599
34695,9.972022,53.5482109
34693,9.9700683,53.5483195
18283,9.9715071,53.5486215
18284,9.9715006,53.5486322
18285,9.971494,53.5486416
13065,9.9683361,53.54884
18286,9.97155,53.54885
18287,9.9715637,53.548858
18288,9.9715753,53.5488654
14443,9.9686877,53.5488767
34691,9.9704435,53.5489559
36091,9.9720736,53.5477842
15584,9.9740998,53.5477888
15586,9.9740723,53.5492272
1414,9.9745328,53.5493283
13204,9.9749549,53.5497534
16745,9.9750123,53.5503111
3161,9.9743214,53.5503952
3160,9.9746029,53.5504451
3162,9.9743874,53.5504761
23303,9.9732975,53.550528
33499,9.975781,53.5488562
33497,9.97577,53.5489065
10981,9.9751351,53.5489989
22745,9.9752082,53.5490832
35665,9.9763419,53.5500393
13563,9.9759761,53.5500587
15582,9.9768313,53.5501456
15588,9.9768344,53.5501598
9881,9.9760941,53.5501718
23684,9.9775183,53.5503439
34692,9.9704234,53.5490057
18289,9.9718146,53.5493736
18290,9.9718328,53.5493771
18291,9.9718488,53.5493807
27145,9.9684853,53.5497853
27131,9.9695347,53.5501895
22558,9.9700555,53.5502247
22899,9.9685274,53.5502626
18029,9.9687566,53.5502707
3142,9.968921,53.550351
12184,9.9699446,53.550363
15106,9.9713629,53.5504275
33697,9.9713092,53.5504287
18174,9.9701523,53.5504324
18175,9.9701492,53.5504401
18176,9.9701477,53.5504474
36257,9.9717478,53.5504935
22557,9.9700542,53.5505087
36251,9.9714479,53.550526
36236,9.9717793,53.5505997
20772,9.9675384,53.5502647
17390,9.968043,53.5502836
5633,9.9661975,53.5504206
5639,9.966199,53.5504343
7428,9.965016,53.5505659
9290,9.965068,53.5506654
7430,9.9673121,53.550711
22560,9.967789,53.5507186
22559,9.9677832,53.5507317
23158,9.9651469,53.5509358
14596,9.9797315,53.5482106
14600,9.9797424,53.5482443
16649,9.98048,53.5487804
16648,9.98048,53.5487804
17733,9.9795961,53.5494225
12742,9.980166,53.549799
10370,9.9797027,53.5498619
10379,9.9797032,53.5498669
10377,9.9797037,53.5498719
10376,9.9797041,53.5498769
15191,9.9783964,53.5484999
21432,9.9779059,53.5485084
21431,9.9779059,53.5485084
5621,9.9779123,53.5485855
17734,9.9794526,53.5494433
15585,9.9785538,53.5495557
12100,9.9794703,53.5502732
1397,9.979098,53.5503165
12099,9.9794382,53.5503187
28981,9.9778042,53.550327
10371,9.9797046,53.5498818
10378,9.979705,53.5498868
12847,9.9795642,53.5498907
10368,9.9797055,53.5498918
10373,9.979706,53.5498968
10381,9.9797064,53.5499018
10380,9.9797069,53.5499068
10374,9.9797073,53.5499118
10365,9.9797078,53.5499168
10367,9.9797082,53.5499218
15587,9.9818448,53.5495544
21078,9.9808297,53.5502456
1104,9.9816006,53.5502468
12845,9.9809356,53.55027
12846,9.9819349,53.5502754
2716,9.9820098,53.550284
10271,9.981707,53.5503339
4389,9.9816483,53.550334
4388,9.9817069,53.5503398
4394,9.9816487,53.5503399
10375,9.9797087,53.5499268
10366,9.9797092,53.5499318
10369,9.9797096,53.5499368
10372,9.9797101,53.5499418
10347,9.9797105,53.5499468
10342,9.979711,53.5499518
15583,9.9797111,53.5499653
15590,9.9802486,53.5499684
23861,9.9796353,53.5499853
1738,9.9796124,53.5500967
489,9.9801653,53.5501032
12596,9.9805582,53.5501034
12844,9.9806048,53.5501345
11149,9.9799802,53.5501447
12850,9.980649,53.5501529
490,9.979542,53.5501699
10384,9.9796006,53.5501978
11971,9.9807257,53.5502039
10382,9.979601,53.550204
10383,9.9796015,53.5502101
439,9.9805057,53.5503109
17454,9.9807908,53.5503116
17459,9.9807908,53.5503157
17460,9.9807908,53.5503195
17455,9.9808119,53.550321
17457,9.9807906,53.5503229
17456,9.9808114,53.5503245
17458,9.9807912,53.5503269
17461,9.9808121,53.5503291
17453,9.9807912,53.5503301
420,9.9805379,53.5503306
10336,9.9808117,53.5503319
10349,9.9807913,53.5503348
10360,9.9808118,53.5503348
10341,9.9808123,53.5503367
10355,9.9807916,53.5503385
10353,9.9808125,53.5503392
10361,9.9807919,53.5503422
10354,9.9808133,53.5503426
10351,9.9808138,53.5503459
10357,9.9808359,53.5503451
4393,9.9817069,53.5503456
4392,9.981649,53.5503459
10358,9.9808362,53.5503491
4391,9.9817068,53.5503515
4390,9.9816493,53.5503519
12843,9.9816857,53.5504731
252,9.9810318,53.5505247
21079,9.9809987,53.5506137
3476,9.9809458,53.5507084
10352,9.9807922,53.5503459
10356,9.9808142,53.5503491
10338,9.9807925,53.5503496
31599,9.9800118,53.5504647
4384,9.9807062,53.5507432
4386,9.9807063,53.5507477
4387,9.9807064,53.5507522
4385,9.9807065,53.5507567
9429,9.9808026,53.5508928
10343,9.9807308,53.5509054
19992,9.9662613,53.5496557
15926,9.9676124,53.5496762
16322,9.9679283,53.5497575
20767,9.9651607,53.5499407
20766,9.9649955,53.5499483
23324,9.9651946,53.5499497
23323,9.9652822,53.5499541
20769,9.9654169,53.5499606
22563,9.9654032,53.549963
22562,9.9659482,53.5500108
18041,9.9632831,53.549828
18040,9.9636713,53.5498299
18037,9.9634091,53.5498359
18039,9.9637739,53.5498741
27335,9.9638936,53.549889
31290,9.9639873,53.5498966
22564,9.9644052,53.5499063
18036,9.9643167,53.5499174
27334,9.96388,53.5499212
22043,9.9645131,53.549936
365,9.9611133,53.5497251
19397,9.9603178,53.5497356
11162,9.9602626,53.5497827
19774,9.9615215,53.5498231
18848,9.9621512,53.5499141
21417,9.9602854,53.5499655
19775,9.9611307,53.5500261
21769,9.9602731,53.5501087
7764,9.9593694,53.5501251
19236,9.9611063,53.5501765
20768,9.9654008,53.5500204
22561,9.9661242,53.5500261
26738,9.9658484,53.5500263
6309,9.9658096,53.5500309
955,9.9658772,53.5500372
18867,9.9659413,53.5500435
18764,9.9660966,53.5500587
23182,9.9661556,53.5500628
7208,9.9662839,53.5500642
5423,9.966396,53.5500717
20770,9.9665273,53.5500769
2460,9.9673997,53.5500859
27132,9.9676656,53.5500933
20771,9.9664267,53.550116
23135,9.9670042,53.5501258
14417,9.9649692,53.5501567
18028,9.9675008,53.5501657
18763,9.9672381,53.5501735
18762,9.9672381,53.5501735
18030,9.9676498,53.5501785
23179,9.9643925,53.5499405
18761,9.9624496,53.5499894
16116,9.9624213,53.5500939
24174,9.9623305,53.5503136
12941,9.9646134,53.5503539
9569,9.9624029,53.5505409
24172,9.9640581,53.5505527
24173,9.9642699,53.5505537
18830,9.9647007,53.5505851
15095,9.9633657,53.5506352
18045,9.9620664,53.5502465
23701,9.9602883,53.550259
7355,9.9614797,53.5502774
33710,9.9611221,53.5503121
22703,9.9616178,53.5503316
22754,9.9614455,53.5503582
8703,9.9603232,53.5503892
15648,9.9619991,53.5505276
21015,9.9614784,53.5505474
11163,9.9602912,53.5505508
18954,9.9599138,53.5505688
26735,9.9620502,53.5506108
22753,9.9614515,53.5506174
